wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
n06866599	bn:00070924n	n	sharp	sostenido, ♯	a musical notation indicating one half step higher than the note named	0.54	7	7
n07061968	bn:00072888n	n	soul	soul	a secular form of gospel that was a major Black musical genre in the 1960s and 1970s	0.79	3	6
n07281871	bn:00073632n	n	sprechgesang, sprechstimme	sprechgesang, sprechstimme	a style of dramatic vocalization between singing and speaking	0.699	4	4
n03499907	bn:00043181n	n	Hawaiian_guitar, steel_guitar	steel_guitar	guitar whose steel strings are twanged while being pressed with a movable steel bar for a glissando effect	0.663	14	10
n11012042	bn:00041426n	n	Grappelli, Stephane_Grappelli	stephane_grapelli, stephane_grappelli, stéphane_grapelli, stéphane_grappelli	French jazz violinist (1908-1997)	0.602	12	8
n10975796	bn:00036034n	n	Foster, Stephen_Foster, Stephen_Collins_Foster	stephen_collins_foster, stephen_foster	United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)	0.378	13	9
n11308396	bn:00072792n	n	Sondheim, Stephen_Sondheim	stephen_joshua_sondheim, stephen_sondheim	United States composer of musicals (born in 1930)	0.311	12	8
n11257031	bn:00066958n	n	Reich, Steve_Reich, Stephen_Michael_Reich	stephen_michael_reich, steve_reich	United States composer (born in 1936)	0.609	12	8
n04330998	bn:00074489n	n	Stradavarius, Strad	stradivarius	a violin made by Antonio Stradivari or a member of his family	0.317	15	11
n05860975	bn:00075003n	n	subtotal	subtotal	the sum of part of a group of numbers	0.5	11	9
n14497763	bn:00027392n	n	dirtiness, uncleanness	suciedad	the state of being unsanitary	0.05	8	6
n10673669	bn:00034007n	n	suicide, felo-de-se	suicidio, suicida	a person who kills himself intentionally	0.059	9	5
n06347811	bn:00075306n	n	supertitle, surtitle	supertitle, surtitle	translation of the words of a foreign opera (or choral work) projected on a screen above the stage	0.421	8	8
n07066042	bn:00048231n	n	swing, swing_music, jive	swing_music, swing	a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz	0.791	4	7
n06816335	bn:00075811n	n	tablature	tablatura, tabulacion, tabulación	a musical notation indicating the fingering to be used	0.561	7	7
n07383616	bn:00027189n	n	ding-dong	talán, talán_talán	the noise made by a bell	1.0	9	7
n09985470	bn:00016357n	n	cutter, carver	tallador, trinchador	someone who carves the meat	0.333	12	8
n10036574	bn:00028896n	n	drum_major	tambor_mayor	the leader of a marching band or drum corps	0.318	12	8
n11400704	bn:00076010n	n	Wynette, Tammy_Wynette, Tammy_Wynetter_Pugh	tammy_wynette, virginia_wynette_pugh, virginia_wynette_richey	United States country singer (1942-1998)	0.556	12	8
n07057829	bn:00076042n	n	tango	tango	music written in duple time for dancing the tango	0.315	2	6
n07057948	bn:00076136n	n	tarantella	tarantella, tarantela	music composed in six-eight time for dancing the tarantella	1.0	2	6
n00533805	bn:00076137n	n	tarantella, tarantelle	tarantella, tarantela	a lively whirling Italian dance for two persons	0.5	11	9
n10229883	bn:00049009n	n	keyboardist	tecladista, teclistas, teclista	a musician who plays a keyboard instrument	0.903	11	7
n05643190	bn:00064626n	n	proficiency, technique	técnica	skillfulness in the command of fundamentals deriving from practice and familiarity	0.727	7	5
n00950705	bn:00021499n	n	computer_technology	tecnología_informática	the activity of designing and constructing and programming computers	0.005	11	9
n10697420	bn:00076372n	n	telecaster	telecaster, presentador_de_televisión	a television broadcaster	0.5	10	6
n10701783	bn:00076534n	n	tenor	tenor	an adult male with a tenor voice	0.875	12	8
a01215263	bn:00111731a	a	tenor	tenor	(of a musical instrument) intermediate between alto and baritone or bass	1.0	99	99
n06872676	bn:00076532n	n	tenor, tenor_voice	tenor	the adult male singing voice above baritone	0.842	5	5
n06863442	bn:00076536n	n	tenor_clef	tenor_clef	a clef that puts middle C on the fourth line of the staff; used for writing music for bassoons or cellos or tenor horns	0.71	8	8
n11338667	bn:00076891n	n	Thespis	tespis, thespis	Greek poet who is said to have originated Greek tragedy (sixth century BC)	0.075	11	7
n06544142	bn:00076666n	n	will, testament	testamento, voluntad	a legal document declaring a person's wishes regarding the disposal of their property when they die	0.444	7	7
n06392660	bn:00000380n	n	above	texto_anterior	an earlier section of a written text	0.5	2	6
n04984007	bn:00076742n	n	texture	textura_musical, textura, textura_de_la_música	the musical pattern created by parts being played or sung together	0.769	8	6
n11185500	bn:00055683n	n	Monk, Thelonious_Monk, Thelonious_Sphere_Monk	thelonious_monk, thelonious_sphere_monk	United States jazz pianist who was one of the founders of the bebop style (1917-1982)	0.621	12	8
n11329808	bn:00075981n	n	Tallis, Thomas_Tallis	thomas_tallis	English organist and composer of church and secular music; was granted a monopoly in music printing with William Byrd (1505-1585)	0.249	12	8
n11340824	bn:00076984n	n	Thomson, Virgil_Thomson, Virgil_Garnett_Thomson	thomson, virgil_garnett_thomson, virgil_thomson	United States composer who collaborated with Gertrude Stein (1896-1989)	0.224	12	8
n07086972	bn:00028479n	n	downbeat	tiempo_acentuado, compás_acentuado	the first beat of a musical measure (as the conductor's arm moves downward)	1.0	8	6
n07087102	bn:00058673n	n	upbeat, offbeat	tiempo_no_acentuado, compás_no_acentuado	an unaccented beat (especially the last beat of a measure)	0.798	8	6
n10734963	bn:00077328n	n	tympanist, timpanist	timbalero	a person who plays the kettledrums	0.534	13	9
n08539557	bn:00077337n	n	Tin_Pan_Alley	tin_pan_alley	a city district (originally in New York) where composers and publishers of popular music do business	0.674	12	8
n14498972	bn:00072368n	n	smuttiness, sootiness	tiznadura	the state of being dirty with soot	0.5	9	7
n04546340	bn:00080382n	n	Walkman	tocapaseo, walkman	(trademark) a pocket-sized stereo system with light weight earphones	0.148	14	10
n07044353	bn:00077456n	n	toccata	tocata, toccata	a baroque musical composition (usually for a keyboard instrument) with full chords and rapid elaborate runs in a rhythmically free style	0.694	2	6
n07391079	bn:00066219n	n	rat-a-tat-tat, rat-a-tat, rat-tat	toc-toc, tantarán, tantarantán	a series of short sharp taps (as made by strokes on a drum or knocks on a door)	0.333	9	7
a02437148	bn:00111973a	a	tonal	tonal	having tonality; i.e. tones and chords organized in relation to one tone such as a keynote or tonic	1.0	99	99
a02438043	bn:00111984a	a	tonic	tónico	relating to or being the keynote of a major or minor scale	1.0	99	99
n05719605	bn:00065278n	n	tone, pure_tone	tono	a steady sound without overtones	0.384	11	9
n04985580	bn:00021564n	n	concert_pitch, philharmonic_pitch, international_pitch	tono_de_concierto, diapasón	the pitch used to tune instruments for concert performances; usually assigns 440 Hz to the A above middle C	0.548	8	6
n10221040	bn:00028286n	n	jerk, dork	tonto	a dull stupid fatuous person	0.5	10	6
n07053884	bn:00077660n	n	torch_song	torch_song, canción_de_despecho	a popular song concerned with disappointment in love	0.794	3	7
n07065932	bn:00077859n	n	trad	trad	traditional jazz as revived in the 1950s	1.0	4	7
n10561613	bn:00041133n	n	scoffer, gorger	tragón, zampón	someone who eats food rapidly and greedily	0.5	11	7
v01708113	bn:00095080v	v	transcribe	transcribir	rewrite or arrange a piece of music for an instrument or medium other than that originally intended	1.0	99	99
v01706631	bn:00095123v	v	transpose	transportar	put (a piece of music) into another key	1.0	99	99
n07399336	bn:00078161n	n	tremolo	trémolo	vocal vibrato especially an excessive or poorly controlled one	1.0	9	7
n14004958	bn:00078160n	n	tremolo	tremolo, trémolo	(music) a tremulous effect produced by rapid repetition of a single tone or rapid alternation of two tones	0.722	8	6
n04480853	bn:00078212n	n	triangle	triangulo, triángulo	a percussion instrument consisting of a metal bar bent in the shape of an open triangle	0.596	13	9
n06860177	bn:00070859n	n	trill, shake	trinado, trino	a note that alternates rapidly with another note a semitone above it	0.857	8	8
n07041595	bn:00078313n	n	trio	trío	a musical composition for three performers	0.842	2	6
n08247152	bn:00078314n	n	trio	trío	three performers or singers who perform together	1.0	8	6
n10730416	bn:00078390n	n	trombonist, trombone_player	trombonista, trombón	a musician who plays the trombone	0.676	11	7
n10732010	bn:00022752n	n	trumpeter, cornetist	trompetero, trompetista, trompeta	a musician who plays the trumpet or cornet	0.507	11	7
n07397355	bn:00077123n	n	thunder	trueno	a booming or crashing noise caused by air expanding along the path of a bolt of lightning	0.5	9	7
n09734885	bn:00078635n	n	Turk	turca, turco	a native or inhabitant of Turkey	0.711	11	7
n00534631	bn:00078767n	n	twist	twist	social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s	0.554	11	9
n04506289	bn:00078871n	n	uke, ukulele	ukelele, ukulele, uke, uquelele	a small guitar having four strings	0.441	14	10
n07058184	bn:00080426n	n	waltz	valse, vals, waltz	music composed in triple time for waltzing	0.884	2	6
n06590723	bn:00079607n	n	variorum, variorum_edition	variorum, edición_variorum	an edition containing various versions of a text or notes by various scholars or editors	0.0	15	11
n11207585	bn:00057715n	n	Nijinsky, Vaslav_Nijinsky, Waslaw_Nijinsky	vaslav_nijinsky, vatslav_nizhinski, waclaw_nizynski, waclaw_nizyński, waclaw_niżynski, waclaw_niżyński, wacław_nizynski, wacław_nizyński, wacław_niżynski, vátslav_nizhinski	Russian dancer considered by many to be the greatest dancer of the 20th century (1890-1950)	0.241	11	7
n10747119	bn:00079670n	n	vegetarian	vegetariana, vegetariano	eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products	0.017	11	7
n10069427	bn:00032178n	n	executioner, public_executioner	verdugos, verdugo, sayón	an official who inflicts capital punishment in pursuit of a warrant	0.01	9	5
n03121698	bn:00023352n	n	cover, cover_version, cover_song	version, versión	a recording of a song that was first recorded or made popular by somebody else	0.871	13	9
n07399137	bn:00079905n	n	vibrato	vibrato	(music) a pulsating effect in an instrumental or vocal tone produced by slight and rapid variations in pitch	0.718	8	6
n11044629	bn:00043789n	n	Herbert, Victor_Herbert	victor_herbert	United States musician and composer and conductor noted for his comic operas (1859-1924)	0.621	11	7
n04533499	bn:00079964n	n	Victrola	victrola, vitrola	a brand of gramophone	0.598	14	10
n09896401	bn:00016157n	n	caroler, caroller	villanciquero	a singer of carols	0.475	12	8
n06863086	bn:00003150n	n	alto_clef, viola_clef	viola_clef	a clef that puts middle C on the third line of a staff	0.713	8	8
n04536465	bn:00080035n	n	viola_da_braccio	viola_da_braccio	a member of the viol family with approximately the range of a viola	0.74	15	11
n04536153	bn:00080031n	n	viol	viola_da_gamba, viola_de_gamba, viola, viol	any of a family of bowed stringed instruments that preceded the violin family	0.486	14	10
n04536765	bn:00080034n	n	viola_d'amore	viola_d'amore, viola_d'amour, viola_de_amor	viol that is the tenor of the viol family	0.569	15	11
n04536866	bn:00034250n	n	violin, fiddle	violin_tradicional, violín, violín_tradicional	bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow	0.469	14	10
n10754578	bn:00034253n	n	violinist, fiddler	violinista, violín	a musician who plays the violin	0.469	11	7
n10755512	bn:00080082n	n	virtuoso	virtuosismo, virtuosista, virtuoso	a musician who is a consummate master of technique and artistry	0.766	11	7
n11060937	bn:00044814n	n	Horowitz, Vladimir_Horowitz	vladimir_gorovitz, vladimir_horowitz, vladimir_hórowitz, vladímir_horowitz, vladímir_hórowitz	Russian concert pianist who was a leading international virtuoso (1904-1989)	0.527	12	8
n06872122	bn:00071736n	n	singing_voice	voz	the musical quality of the voice while singing	0.83	4	4
n10758713	bn:00080189n	n	voice	voz	(metonymy) a singer	1.0	12	8
n05127500	bn:00018212n	n	chest_register, chest_voice, chest_tone	voz_de_pecho	the lower ranges of the voice in speaking or singing	0.706	9	7
n05127150	bn:00043294n	n	head_register, head_voice, head_tone	voz_masculina	the higher ranges of the voice in speaking or singing; the vibrations of sung notes are felt in the head	0.218	9	7
n11027885	bn:00042842n	n	Handy, W._C._Handy, William_Christopher_Handy	w._c._handy, w.h._handy, w_c._handy, w_c_handy, w_h._handy, w_h_handy, william_christopher_handy	United States blues musician who transcribed and published traditional blues music (1873-1958)	0.397	12	8
n07278925	bn:00080325n	n	Wagner	wagner	the music of Wagner	1.0	1	5
a03036974	bn:00113687a	a	Wagnerian	wagneriana, wagneriano	of or relating to Richard Wagner or his music	1.0	99	99
n11115929	bn:00049885n	n	Landowska, Wanda_Landowska	wanda_landowska, wanda_louise_landowska	United States harpsichordist (born in Poland) who helped to revive modern interest in the harpsichord (1879-1959)	0.431	12	8
n10877015	bn:00014360n	n	Byrd, William_Byrd	william_byrd	English organist and composer of church music; master of 16th century polyphony; was granted a monopoly in music printing with Thomas Tallis (1543-1623)	0.314	12	8
n11373231	bn:00071821n	n	Walton, William_Walton, Sir_William_Walton, Sir_William_Turner_Walton	william_turner_walton, william_walton	English composer (1902-1983)	0.444	12	8
n10801697	bn:00081789n	n	xylophonist	xilofonista, xylophonist	someone who plays a xylophone	0.54	12	8
n11215205	bn:00059019n	n	Ono, Yoko_Ono	yoko_ono_lennon, yoko_ono, yōko_ono	United States musician (born in Japan) who married John Lennon and collaborated with him on recordings (born in 1933)	0.451	11	7
n07057001	bn:00069244n	n	saraband	zarabanda	music composed for dancing the saraband	1.0	2	6
v01056214	bn:00089510v	v	hum	zumbar	make a low continuous sound	1.0	99	99
n07062550	bn:00082108n	n	zydeco	zydeco	music of southern Louisiana that combines French dance melodies with Caribbean music and blues	0.62	5	8
UNIMARK			absolutio
UNIMARK			accademia
r00264927	bn:00114100r	r	accelerando		with increasing speed	1.0	99	99
UNIMARK			acclamatio
UNIMARK			acclamazione
a02252053	bn:00096272a	a	accompanied, attended		playing or singing with instrumental or vocal accompaniment	1.0	99	99
UNIMARK			acordeón
UNIMARK			acróbata
UNIMARK			actio sacra
UNIMARK			actor
UNIMARK			actor niño
UNIMARK			actriz
UNIMARK			actus musicus
UNIMARK			aer
UNIMARK			agnus dei
UNIMARK			agogó
UNIMARK			akathistos hymnos
UNIMARK			Akklamation
UNIMARK			alba
UNIMARK			albogue
UNIMARK			alborada
UNIMARK			albumleaf
UNIMARK			alleluia
UNIMARK			alleluia
UNIMARK			allemanda
UNIMARK			allemande
n09786226	bn:00003152n	n	alto_saxophonist, altoist		a musician who plays the alto saxophone	0.882	12	8
n02700895	bn:00003237n	n	Amati		a violin made by Nicolo Amati or a member of his family	0.5	15	11
UNIMARK			amener
UNIMARK			anagramma
UNIMARK			Andalusi nubah
n02712907	bn:00004256n	n	animalization		a depiction in the form of an animal	0.769	13	9
UNIMARK			ante evangelium
UNIMARK			anvil
UNIMARK			applauso
UNIMARK			applausus musicus
UNIMARK			arabesque
UNIMARK			archicémbalo
UNIMARK			archilaúd
UNIMARK			arco musical
UNIMARK			Arie
UNIMARK			ariette
a01501505	bn:00097492a	a	ariose, songlike		having a melody (as distinguished from recitative)	1.0	99	99
UNIMARK			armónica
UNIMARK			armónica de cristal
UNIMARK			armonio
n09809134	bn:00005799n	n	arms_manufacturer		someone who manufactures arms and munitions	0.01	11	7
UNIMARK			arpa
UNIMARK			arpa céltica
UNIMARK			arpa de boca
UNIMARK			arpa eólica
UNIMARK			arpaneta
UNIMARK			arpeggione
UNIMARK			assoluzione
n07030376	bn:00007149n	n	augmentation		the statement of a theme in notes of greater duration (usually twice the length of the original)	0.882	4	8
UNIMARK			aulos
UNIMARK			aurresku
UNIMARK			auto sacramental
UNIMARK			ayr
UNIMARK			azione musicale
UNIMARK			azione sacra
UNIMARK			azione teatrale
n07086861	bn:00007760n	n	backbeat		a loud steady beat	0.805	8	6
UNIMARK			badinage
UNIMARK			baião
UNIMARK			bailarín
UNIMARK			bajo
UNIMARK			bajo continuo
UNIMARK			bajón
UNIMARK			bal
UNIMARK			ballad opera
UNIMARK			ballata
UNIMARK			balletto
UNIMARK			ballo
UNIMARK			banda
UNIMARK			banda de jazz
UNIMARK			banda de ragtime
UNIMARK			banda de viento metal
n09837459	bn:00008320n	n	bandsman		a player in a band (especially a military band)	0.75	11	7
n07376539	bn:00008343n	n	banging		a continuing very loud noise	1.0	9	7
UNIMARK			Bänkelgesang
UNIMARK			banyo
n08247400	bn:00008541n	n	barbershop_quartet		an unaccompanied quartet of (usually male) voices singing sentimental songs in four-part harmony	0.47	9	7
UNIMARK			barbitón
UNIMARK			barform
UNIMARK			baritón
UNIMARK			barítono
UNIMARK			barriera
UNIMARK			bass clarinet
UNIMARK			bass flute
UNIMARK			bass trombone
UNIMARK			bass tuba
n06862954	bn:00008920n	n	bass_clef, F_clef		a clef that puts the F below middle C on the fourth line of a staff	0.713	8	8
UNIMARK			bassa danza
UNIMARK			bassanello
UNIMARK			basse danse
UNIMARK			bassete
UNIMARK			bataille
UNIMARK			batería
UNIMARK			battaglia
UNIMARK			batuque
n05865454	bn:00009262n	n	be-all_and_end-all, be_all_and_end_all		the essential factor; the all-important element; the supreme aim	0.5	11	9
n07278014	bn:00009609n	n	Beethoven		the music of Beethoven	1.0	1	5
n07054994	bn:00009649n	n	beguine		music written in the bolero rhythm of the beguine dance	1.0	2	6
UNIMARK			béguine
n09849256	bn:00009758n	n	bell_ringer		someone who plays musical handbells	0.667	11	7
UNIMARK			bells
UNIMARK			benedictus
UNIMARK			bergamasque dance
UNIMARK			bergerette
UNIMARK			Bergreihen
UNIMARK			bersag horn
UNIMARK			bicinium
UNIMARK			big band
UNIMARK			biwa
UNIMARK			black bottom
UNIMARK			black music
UNIMARK			bloque de templo
UNIMARK			bluette
n09862713	bn:00011712n	n	bobbysoxer, bobby-socker		an adolescent girl wearing bobby socks (common in the 1940s)	0.28	12	8
UNIMARK			bolero cubano
UNIMARK			bombardino
UNIMARK			bombardino
UNIMARK			bombardino
UNIMARK			bombardón
UNIMARK			bombo
UNIMARK			bongó
UNIMARK			boobams
v01897203	bn:00083772v	v	boogie		dance to boogie music	1.0	99	99
UNIMARK			borre
UNIMARK			boston
UNIMARK			boutade
UNIMARK			bouzouki
UNIMARK			bowed
n07278146	bn:00012670n	n	Brahms		the music of Brahms	1.0	1	5
UNIMARK			branle
UNIMARK			brass instruments
UNIMARK			bréban
UNIMARK			bronte
UNIMARK			bronté
UNIMARK			brunette
n02910701	bn:00013608n	n	bucksaw		a saw that is set in a frame in the shape of an H; used with both hands to cut wood that is held in a sawbuck	0.25	14	10
UNIMARK			bugaku
v01726039	bn:00084197v	v	bugle		play on a bugle	0.667	99	99
UNIMARK			bugle de llaves
UNIMARK			bumbass
UNIMARK			Burleske
v01759166	bn:00084311v	v	busk		play music in a public place and solicit money for it	1.0	99	99
UNIMARK			buzina
UNIMARK			byzantine canon
n06863209	bn:00014399n	n	C_clef		a movable clef that puts middle C on one of the lines of a staff	0.713	8	8
UNIMARK			cabaletta
UNIMARK			caccia
UNIMARK			cachucha
UNIMARK			cachucha (duplicate)
UNIMARK			cadenas
UNIMARK			caja
UNIMARK			caja china
UNIMARK			caja de música
UNIMARK			calabaza
UNIMARK			calata
UNIMARK			calypso
UNIMARK			campanilla
UNIMARK			canarie
UNIMARK			canario
UNIMARK			can-can
UNIMARK			canción
UNIMARK			canción báquica
UNIMARK			cancion estudiantil
UNIMARK			cañón
UNIMARK			canso
a01501718	bn:00099210a	a	cantabile, singing		smooth and flowing	1.0	99	99
UNIMARK			cantiga
UNIMARK			cantiga (duplicate)
UNIMARK			cantilena
UNIMARK			cantilène
UNIMARK			cantio
UNIMARK			cantio sacra
UNIMARK			canto llano
UNIMARK			canzonas
UNIMARK			canzone
UNIMARK			canzone
UNIMARK			canzonetta
UNIMARK			canzonetta spirituale
UNIMARK			capitulo
UNIMARK			caprice
UNIMARK			carillon
UNIMARK			carillones de viento
n09896311	bn:00016079n	n	carillonneur		a musician who plays a carillon	0.209	11	7
UNIMARK			carmagnole
UNIMARK			carmen
UNIMARK			carnival song
UNIMARK			carnyx
UNIMARK			carol
UNIMARK			carole
UNIMARK			carosello
UNIMARK			cassation
UNIMARK			castañuelas
UNIMARK			Cavalette
UNIMARK			cavatina
UNIMARK			cavatine
UNIMARK			cencerro
UNIMARK			cento
UNIMARK			cepillo
UNIMARK			chachachá
UNIMARK			chacota
UNIMARK			chamber opera
UNIMARK			chamber symphony
UNIMARK			chance composition / aleatoric music
UNIMARK			chanson
UNIMARK			chanson
UNIMARK			chanson de geste
UNIMARK			chanson de toile
UNIMARK			chanson sentencieuse
UNIMARK			chanson spirituelle
a02020609	bn:00099525a	a	chantlike, intoned, singsong		uttered in a monotonous cadence or rhythm as in chanting	1.0	99	99
UNIMARK			chapa de trueno
UNIMARK			character piece
UNIMARK			charleston
UNIMARK			chasse
n07378952	bn:00017953n	n	chatter, chattering		the rapid series of noises made by the parts of a machine	0.333	9	7
n07378781	bn:00017954n	n	chatter, chattering		the high-pitched continuing noise made by animals (birds or monkeys)	0.25	9	7
UNIMARK			chekker
UNIMARK			chiarenzana
UNIMARK			child alto
UNIMARK			child soprano
UNIMARK			children opera
UNIMARK			children's song
UNIMARK			chinesco
UNIMARK			choral prelude
UNIMARK			chorale
v01727354	bn:00084943v	v	chord		play chords on (a string instrument)	0.667	99	99
UNIMARK			chordette
UNIMARK			chordette
UNIMARK			choruses
UNIMARK			christmas music
UNIMARK			cimbasso
UNIMARK			cimbasso
UNIMARK			cistro
UNIMARK			cítara
n07379963	bn:00019390n	n	clack, clap		a sharp abrupt noise as if two objects hit together; may be repeated	0.75	9	7
v02174461	bn:00085029v	v	clangor, clangour		make a loud resonant noise	1.0	99	99
v02174311	bn:00085030v	v	clank		make a clank	1.0	99	99
v01237398	bn:00085036v	v	clap		strike together so as to produce a sharp percussive noise	1.0	99	99
UNIMARK			clarín
UNIMARK			clarinete
UNIMARK			clausula
UNIMARK			clausule
UNIMARK			clave
UNIMARK			claveciterio
UNIMARK			claves
UNIMARK			clavicordio
n03039015	bn:00019615n	n	clavier, Klavier		a stringed instrument that has a keyboard	0.5	13	9
UNIMARK			claviórgano
n09930464	bn:00019953n	n	closer		a person who closes something	0.645	8	4
UNIMARK			cobla
UNIMARK			cobza
UNIMARK			colachão
UNIMARK			colascione
UNIMARK			colinda
UNIMARK			Colinde
UNIMARK			comédie-ballet
UNIMARK			comic drama
UNIMARK			commedia per musica
UNIMARK			communion
UNIMARK			competition
UNIMARK			completorium
UNIMARK			computerized musical station
UNIMARK			computerized tape
UNIMARK			concert piece
UNIMARK			concerto grosso
UNIMARK			conductors
UNIMARK			conductus
UNIMARK			conduit
UNIMARK			confractorium
UNIMARK			confrattorio
UNIMARK			conjunto instrumental
UNIMARK			conjunto vocal
UNIMARK			conjunto vocal y instrumental
UNIMARK			contacio
UNIMARK			contrabajo
UNIMARK			contrabajon
UNIMARK			contrabass ophicleide
UNIMARK			contrabass trombone
UNIMARK			contrabass tuba
UNIMARK			contrafactum
n09612580	bn:00022252n	n	contrapuntist		a composer who specializes in counterpoint	1.0	12	8
UNIMARK			contratenor
UNIMARK			contredance
UNIMARK			corant
UNIMARK			cornet
UNIMARK			corneta de posta
UNIMARK			corneta natural
UNIMARK			cornett piccolo
UNIMARK			cornetto
UNIMARK			corno di bassetto
UNIMARK			corno inglés
UNIMARK			cornu
UNIMARK			coro - otro
UNIMARK			coro - sin especificar
UNIMARK			coro de hombres
UNIMARK			coro de mujeres
UNIMARK			coro mixto
n07294260	bn:00022784n	n	corollary		a practical consequence that follows naturally	0.5	10	8
UNIMARK			corrido
UNIMARK			cotillon
UNIMARK			country dance
UNIMARK			country music
UNIMARK			couplet
UNIMARK			cow horn
UNIMARK			cracovienne
UNIMARK			credo
UNIMARK			cristal Baschet
UNIMARK			Cristal Baschet
UNIMARK			cromorno
n00547101	bn:00023929n	n	crooning		singing in a soft low tone	1.0	11	9
n00546972	bn:00023930n	n	crooning		the act of singing popular songs in a sentimental manner	0.767	11	9
n07032753	bn:00024014n	n	crossover		the appropriation of a new style (especially in popular music) by combining elements of different genres in order to appeal to a wider audience	0.862	10	8
UNIMARK			crotales
UNIMARK			crótalos de dedos
n03139887	bn:00024095n	n	crown_saw		a saw having teeth around the edge of a hollow cylinder	0.5	14	10
n07382414	bn:00024135n	n	crunch		the sound of something crunching	1.0	9	7
UNIMARK			csárdás
UNIMARK			cuadrilla
UNIMARK			cuarteto
UNIMARK			cueca
UNIMARK			cuíca
n07019396	bn:00024538n	n	curtain_raiser		a short play presented before the main play	0.167	9	7
n03152062	bn:00024575n	n	cuspidation		a decoration using cusps	0.333	11	7
UNIMARK			dance form
UNIMARK			dance of death
n07060697	bn:00008208n	n	dance_music, danceroom_music, ballroom_music		a genre of popular music composed for ballroom dancing	1.0	3	6
UNIMARK			dance-pair
UNIMARK			Dantz
UNIMARK			decimino
n03177059	bn:00026347n	n	departure_lounge		lounge where passengers can await departure	0.5	13	9
UNIMARK			derbake
UNIMARK			descort
n13416241	bn:00026742n	n	devise		a will disposing of real property	0.5	8	8
n10010864	bn:00026756n	n	devourer		someone who eats greedily or voraciously	0.5	11	7
UNIMARK			devozione
UNIMARK			Dezett
UNIMARK			dialogue
UNIMARK			diapasón
UNIMARK			didjeridu
UNIMARK			digital space device
n03195959	bn:00025313n	n	digital_audiotape, DAT		a digital tape recording of sound	1.0	15	11
UNIMARK			director - otro
UNIMARK			director de coro
UNIMARK			director de live electronic
UNIMARK			director de orquesta
UNIMARK			disco music
UNIMARK			disguisings
UNIMARK			dispositivo electroacústico
UNIMARK			dispositivo multimedial
UNIMARK			divertissement
UNIMARK			dixieland
UNIMARK			dixtuor
UNIMARK			doppione
UNIMARK			double
n06864900	bn:00028361n	n	double_bar		notation marking the end of principal parts of a musical composition; two adjacent bar lines	0.746	7	7
UNIMARK			doxology
UNIMARK			dramatic introduction
UNIMARK			dramatic scherzo
UNIMARK			Dreher
v01732532	bn:00087400v	v	drum		play a percussion instrument	0.667	99	99
n05720521	bn:00028992n	n	dub		the new sounds added by dubbing	0.835	11	9
UNIMARK			dulcimer
UNIMARK			dulzaina
UNIMARK			dumb show
n10040049	bn:00029133n	n	dunker		an eater who dips food into a liquid before eating it	0.333	11	7
UNIMARK			duplex
n14498733	bn:00029208n	n	dustiness		the state of being covered with dust	0.333	9	7
UNIMARK			dvojnice
n13977870	bn:00029449n	n	earthquake		a disturbance that is extremely disruptive	1.0	8	6
UNIMARK			écossaise
UNIMARK			eglogue
UNIMARK			electric / electronic instruments and devices
UNIMARK			electric bass guitar
UNIMARK			electric organ
UNIMARK			electric piano
UNIMARK			electroacoustic mixed music
UNIMARK			electroacoustic music
UNIMARK			electronic organ
UNIMARK			electronic piano
UNIMARK			electrónica - otro
UNIMARK			electrónica - sin especificar
UNIMARK			elegy
UNIMARK			elevatio
UNIMARK			élévation
UNIMARK			English violet
UNIMARK			english waltz
n07043026	bn:00030910n	n	enigma_canon, enigmatic_canon, enigmatical_canon, riddle_canon		a canon in which the entrances of successive parts were indicated by cryptic symbols and devices (popular in the 15th and 16th centuries)	0.699	3	7
UNIMARK			ensembles
UNIMARK			entrée
UNIMARK			entremès
UNIMARK			eolífono
UNIMARK			epilogue
UNIMARK			epithalamion
UNIMARK			epithalamium
UNIMARK			epos
UNIMARK			escolanía
n10063461	bn:00031573n	n	escort		an attendant who is employed to accompany someone	0.2	11	7
UNIMARK			espineta
UNIMARK			estampida
UNIMARK			estrambote
n10067305	bn:00031982n	n	Evangelist		(when capitalized) any of the spiritual leaders who are assumed to be authors of the Gospels in the New Testament: Matthew, Mark, Luke, and John	0.587	10	6
UNIMARK			examination work
UNIMARK			exercise
n07383696	bn:00032345n	n	explosion		the noise caused by an explosion	0.5	9	7
n06741993	bn:00032371n	n	exposition		(music) the section of a movement (especially in sonata form) where the major musical themes first occur	0.971	2	6
UNIMARK			extra
UNIMARK			extravaganza
UNIMARK			fagot
n03318707	bn:00032779n	n	fake_book		a fake in the form of an imitation book; used to fill bookcases of people who wish to appear scholarly	0.673	14	10
UNIMARK			fandango
UNIMARK			fantasy
UNIMARK			farandole
UNIMARK			farce
UNIMARK			faux-bourdon
UNIMARK			favola per musica
UNIMARK			feast
n14488118	bn:00033894n	n	feculence		something that is feculent	1.0	9	7
