wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:08465558n	bn:00007432n	n	avant-garde, vanguard, van, new_wave	arte_de_vanguardia, avant-garde, ismos, vanguardias, vanguardismo, vanguardista,  vanguardia_artística, vanguardias_históricas	any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)	0.471	8	6	YES
wn:06157326n	bn:00061565n	n	performing_arts	arte_escenico, artes_escenicas, escenificacion, obra_escenica, arte_escénico, obra_escénica, escenificación, artes_escénicas	arts or skills that require public performance	0.17	10	8	NO
wn:10970488n	bn:00006095n	n	Fiedler, Arthur_Fiedler	arthur_fiedler	popular United States conductor (1894-1979)	0.469	12	8	NO
wn:11057679n	bn:00006098n	n	Honegger, Arthur_Honegger	arthur_honegger, oscar-arthur_honegger	Swiss composer (born in France) who was the founding member of a group in Paris that included Erik Satie and Darius Milhaud and Francis Poulenc and Jean Cocteau (1892-1955)	0.359	12	8	NO
wn:11296429n	bn:00006099n	n	Shaw, Artie_Shaw, Arthur_Jacob_Arshawsky	arthur_jacob_arshawsky, artie_shaw	United States clarinetist and leader of a swing band (1910-2004)	0.494	12	8	NO
wn:11273479n	bn:00006110n	n	Rubinstein, Arthur_Rubinstein, Artur_Rubinstein	arthur_rubinstein, artur_rubinstein, arturo_rubinstein	United States pianist (born in Poland) known for his interpretations of the music of Chopin (1886-1982)	0.49	12	8	NO
wn:11324212n	bn:00006112n	n	Sullivan, Arthur_Sullivan, Arthur_Seymour_Sullivan, Sir_Arthur_Sullivan	arthur_s._sullivan, arthur_s_sullivan, arthur_seymour_sullivan, arthur_sullivan, sir_arthur_seymour_sullivan, sullivan	English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)	0.617	12	8	NO
wn:06392935n	bn:00006123n	n	article, clause	artículo, cláusula	a separate section of a legal document (as a statute or contract or will)	0.182	2	6	NO
wn:11285456n	bn:00006198n	n	Schnabel, Artur_Schnabel	artur_schnabel, schnabel	United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)	0.639	12	8	NO
wn:11346257n	bn:00006199n	n	Toscanini, Arturo_Toscanini	arturo_toscanini, toscanini	Italian conductor of many orchestras worldwide (1867-1957)	0.599	12	8	NO
